Well,Well Position,Cycle,Target Name,Rn,Delta Rn 1,Ratio,Delta Rn 2,Ratio 2,Delta Rn 3,Ratio 3,Avg Delta Rn,DRn Error,Ratio Avg,Ratio Error
1,A1,1,Target 1,507220.906,-5158.109,-1.000,-5162.953,-1.000,-4489.219,-1.000,-4936.760,387.590,,
1,A1,2,Target 1,517537.125,5158.109,4.230,5162.953,4.337,4489.219,4.451,4936.760,387.590,-1.000,0.000
1,A1,3,Target 1,534197.688,21818.672,1.626,22390.828,1.546,19979.406,1.581,21396.302,1259.975,4.339,0.110
1,A1,4,Target 1,547856.688,35477.672,1.299,34607.234,1.283,31594.531,1.289,33893.146,2037.679,1.584,0.040
1,A1,5,Target 1,558479.813,46100.797,1.177,44410.172,1.175,40737.969,1.177,43749.646,2741.752,1.291,0.008
1,A1,6,Target 1,566650.750,54271.734,1.159,52195.547,1.147,47957.344,1.148,51474.875,3218.293,1.177,0.001
1,A1,7,Target 1,575276.938,62897.922,1.114,59880.797,1.118,55070.656,1.118,59283.125,3947.712,1.152,0.006
1,A1,8,Target 1,582453.563,70074.547,1.115,66938.734,1.112,61551.156,1.111,66188.146,4310.984,1.117,0.002
1,A1,9,Target 1,590516.438,78137.422,1.117,74420.328,1.121,68408.844,1.101,73655.531,4909.174,1.113,0.002
1,A1,10,Target 1,599697.063,87318.047,1.128,83461.828,1.144,75344.094,1.114,82041.323,6112.059,1.113,0.011
1,A1,11,Target 1,610840.375,98461.359,1.159,95512.016,1.194,83928.656,1.157,92634.010,7681.930,1.129,0.015
1,A1,12,Target 1,626487.375,114108.359,1.224,114051.172,1.277,97142.344,1.207,108433.958,9778.867,1.170,0.021
1,A1,13,Target 1,652036.063,139657.047,1.321,145695.422,1.378,117275.656,1.296,134209.375,14972.596,1.236,0.037
1,A1,14,Target 1,696891.750,184512.734,1.428,200803.484,1.483,151943.281,1.413,179086.500,24877.960,1.332,0.042
1,A1,15,Target 1,775843.813,263464.813,1.503,297697.125,1.543,214718.469,1.490,258626.802,41700.349,1.441,0.037
1,A1,16,Target 1,908351.625,395972.625,1.501,459269.500,1.519,319863.656,1.505,391701.927,69800.978,1.512,0.028
1,A1,17,Target 1,1106670.250,594291.250,1.404,697582.563,1.406,481274.656,1.418,591049.490,108190.385,1.508,0.010
1,A1,18,Target 1,1346711.125,834332.125,1.249,980968.438,1.238,682290.375,1.277,832530.313,149347.183,1.409,0.007
1,A1,19,Target 1,1554196.250,1041817.250,1.124,1214398.125,1.067,870986.000,1.167,1042400.458,171706.805,1.254,0.020
1,A1,20,Target 1,1683246.000,1170867.000,1.028,1296166.000,0.964,1016725.375,1.086,1161252.792,139968.177,1.120,0.050
1,A1,21,Target 1,1716379.250,1204000.250,0.986,1249336.000,0.973,1104008.750,1.030,1185781.667,74356.842,1.026,0.061
1,A1,22,Target 1,1698935.750,1186556.750,0.988,1215053.750,0.993,1136758.000,0.996,1179456.167,39627.892,0.996,0.030
1,A1,23,Target 1,1684325.125,1171946.125,0.995,1206735.250,0.999,1132519.750,0.993,1170400.375,37131.888,0.992,0.004
1,A1,24,Target 1,1678646.875,1166267.875,0.998,1205643.000,1.005,1124367.250,0.995,1165426.042,40644.414,0.996,0.003
1,A1,25,Target 1,1675775.375,1163396.375,1.000,1211112.375,1.002,1118265.375,0.996,1164258.042,46429.497,0.999,0.005
1,A1,26,Target 1,1675594.625,1163215.625,1.003,1213964.250,1.001,1113944.000,0.999,1163707.958,50011.943,0.999,0.003
1,A1,27,Target 1,1679199.000,1166820.000,1.001,1214951.250,1.004,1112372.750,1.002,1164714.667,51321.647,1.001,0.002
1,A1,28,Target 1,1679896.750,1167517.750,1.000,1219484.875,1.002,1115138.250,0.999,1167380.292,52173.448,1.002,0.002
1,A1,29,Target 1,1680359.250,1167980.250,1.000,1221882.875,1.001,1114509.625,1.004,1168124.250,53686.770,1.001,0.001
1,A1,30,Target 1,1680069.125,1167690.125,,1223188.750,,1118972.625,,1169950.500,52144.819,1.002,0.002
2,A2,1,Target 1,"357,518.563","-5,722.359",,,,,,,,,
2,A2,2,Target 1,"368,963.281","5,722.359",,,,,,,,,
2,A2,3,Target 1,"387,459.094","24,218.172",,,,,,,,,
2,A2,4,Target 1,"399,878.156","36,637.234",,,,,,,,,
2,A2,5,Target 1,"409,655.219","46,414.297",,,,,,,,,
2,A2,6,Target 1,"418,118.406","54,877.484",,,,,,,,,
2,A2,7,Target 1,"427,706.594","64,465.672",,,,,,,,,
2,A2,8,Target 1,"438,074.719","74,833.797",,,,,,,,,
2,A2,9,Target 1,"453,108.094","89,867.172",,,,,,,,,
2,A2,10,Target 1,"475,668.344","112,427.422",,,,,,,,,
2,A2,11,Target 1,"513,716.938","150,476.016",,,,,,,,,
2,A2,12,Target 1,"581,163.438","217,922.516",,,,,,,,,
2,A2,13,Target 1,"696,644.688","333,403.750",,,,,,,,,
2,A2,14,Target 1,"878,736.688","515,495.750",,,,,,,,,
2,A2,15,Target 1,"1,121,250.625","758,009.688",,,,,,,,,
2,A2,16,Target 1,"1,361,157.375","997,916.438",,,,,,,,,
2,A2,17,Target 1,"1,524,028.375","1,160,787.500",,,,,,,,,
2,A2,18,Target 1,"1,566,374.000","1,203,133.125",,,,,,,,,
2,A2,19,Target 1,"1,538,734.750","1,175,493.875",,,,,,,,,
2,A2,20,Target 1,"1,511,563.750","1,148,322.875",,,,,,,,,
2,A2,21,Target 1,"1,500,902.500","1,137,661.625",,,,,,,,,
2,A2,22,Target 1,"1,495,387.125","1,132,146.250",,,,,,,,,
2,A2,23,Target 1,"1,492,318.125","1,129,077.250",,,,,,,,,
